package,name,composable,skippable,restartable,readonly,inline,isLambda,hasDefaults,defaultsGroup,groups,calls,
land.sungbin.androidplayground.Main.<get-aaa>,<get-aaa>,1,0,0,1,0,0,0,0,1,1,
land.sungbin.androidplayground.Main,Main,1,1,1,0,0,0,0,0,1,1,
land.sungbin.androidplayground.getValue,getValue,1,0,1,0,0,0,0,0,1,1,
